Zip Code,City/Township/Community,Municipal,County,State,Utility
17201,Chambersburg,,Franklin,Pennsylvania,UGI
17202,Chambersburg,,Franklin,Pennsylvania,UGI
17233,McConnellsburg,,Fulton,Pennsylvania,UGI
17235,Marion,,Franklin,Pennsylvania,UGI
17244,Orrstown,,Franklin,Pennsylvania,UGI
17254,Scotland,,Franklin,Pennsylvania,UGI
17257,Shippensburg,,Cumberland,Pennsylvania,UGI
17257,Shippensburg,,Cumberland,Pennsylvania,UGI
17260,Shirleysburg,,Huntingdon,Pennsylvania,UGI
17268,Waynesboro,,Franklin,Pennsylvania,UGI
17319,Etters,,York,Pennsylvania,UGI
17325,Gettysburg,,Adams,Pennsylvania,UGI
17339,Lewisberry,,York,Pennsylvania,UGI
17501,Akron,,Lancaster,Pennsylvania,UGI
17502,Bainbridge,,Lancaster,Pennsylvania,UGI
17505,Bird In Hand,,Lancaster,Pennsylvania,UGI
17512,Columbia,,Lancaster,Pennsylvania,UGI
17517,Denver,,Lancaster,Pennsylvania,UGI
17519,East Earl,,Lancaster,Pennsylvania,UGI
17520,East Petersburg,,Lancaster,Pennsylvania,UGI
17522,Ephrata,,Lancaster,Pennsylvania,UGI
17536,Kirkwood,,Lancaster,Pennsylvania,UGI
17538,Landisville,,Lancaster,Pennsylvania,UGI
17540,Leola,,Lancaster,Pennsylvania,UGI
17543,Lititz,,Lancaster,Pennsylvania,UGI
17545,Manheim,,Lancaster,Pennsylvania,UGI
17547,Marietta,,Lancaster,Pennsylvania,UGI
17551,Millersville,,Lancaster,Pennsylvania,UGI
17552,Mount Joy,,Lancaster,Pennsylvania,UGI
17554,Mountville,,Lancaster,Pennsylvania,UGI
17557,New Holland,,Lancaster,Pennsylvania,UGI
17562,Paradise,,Lancaster,Pennsylvania,UGI
17565,Pequea,,Lancaster,Pennsylvania,UGI
17566,Quarryville,,Lancaster,Pennsylvania,UGI
17567,Reamstown,,Lancaster,Pennsylvania,UGI
17569,Reinholds,,Lancaster,Pennsylvania,UGI
17572,Ronks,,Lancaster,Pennsylvania,UGI
17573,Lancaster,,Lancaster,Pennsylvania,UGI
17576,Smoketown,,Lancaster,Pennsylvania,UGI
17579,Strasburg,,Lancaster,Pennsylvania,UGI
17582,Washington Boro,,Lancaster,Pennsylvania,UGI
17601,Lancaster,,Lancaster,Pennsylvania,UGI
17602,Lancaster,,Lancaster,Pennsylvania,UGI
17603,Lancaster,,Lancaster,Pennsylvania,UGI
17604,Lancaster,,Lancaster,Pennsylvania,UGI
17605,Lancaster,,Lancaster,Pennsylvania,UGI
17606,Lancaster,,Lancaster,Pennsylvania,UGI
17607,Lancaster,,Lancaster,Pennsylvania,UGI
17608,Lancaster,,Lancaster,Pennsylvania,UGI
17611,Lancaster,,Lancaster,Pennsylvania,UGI
17622,Lancaster,,Lancaster,Pennsylvania,UGI
17699,Lancaster,,Lancaster,Pennsylvania,UGI
17701,Williamsport,,Lycoming,Pennsylvania,UGI
17702,Williamsport,,Lycoming,Pennsylvania,UGI
17703,Williamsport,,Lycoming,Pennsylvania,UGI
17705,Williamsport,,Lycoming,Pennsylvania,UGI
17721,Avis,,Clinton,Pennsylvania,UGI
17724,Canton,,Bradford,Pennsylvania,UGI
17724,Canton,,Bradford,Pennsylvania,UGI
17726,Castanea,,Clinton,Pennsylvania,UGI
17728,Cogan Station,,Lycoming,Pennsylvania,UGI
17737,Hughesville,,Lycoming,Pennsylvania,UGI
17740,Jersey Shore,,Lycoming,Pennsylvania,UGI
17744,Linden,,Lycoming,Pennsylvania,UGI
17745,Lock Haven,,Clinton,Pennsylvania,UGI
17751,Mill Hall,,Clinton,Pennsylvania,UGI
17752,Montgomery,,Lycoming,Pennsylvania,UGI
17754,Montoursville,,Lycoming,Pennsylvania,UGI
17756,Muncy,,Lycoming,Pennsylvania,UGI
17756,Muncy,,Lycoming,Pennsylvania,UGI
17760,North Bend,,Clinton,Pennsylvania,UGI
17762,Picture Rocks,,Lycoming,Pennsylvania,UGI
17764,Renovo,,Clinton,Pennsylvania,UGI
17765,Roaring Branch,,Tioga,Pennsylvania,UGI
17772,Turbotville,,Northumberland,Pennsylvania,UGI
17774,Unityville,,Lycoming,Pennsylvania,UGI
17777,Watsontown,,Northumberland,Pennsylvania,UGI
17801,Sunbury,,Northumberland,Pennsylvania,UGI
17810,Allenwood,,Lycoming,Pennsylvania,UGI
17815,Bloomsburg,,Columbia,Pennsylvania,UGI
17821,Danville,,Montour,Pennsylvania,UGI
17822,Danville,,Montour,Pennsylvania,UGI
17824,Elysburg,,Northumberland,Pennsylvania,UGI
17832,Marion Heights,,Northumberland,Pennsylvania,UGI
17834,Kulpmont,,Northumberland,Pennsylvania,UGI
17837,Lewisburg,,Union,Pennsylvania,UGI
17840,Locust Gap,,Northumberland,Pennsylvania,UGI
17847,Milton,,Northumberland,Pennsylvania,UGI
17851,Mount Carmel,,Northumberland,Pennsylvania,UGI
17856,New Columbia,,Union,Pennsylvania,UGI
17857,Northumberland,,Northumberland,Pennsylvania,UGI
17860,Paxinos,,Northumberland,Pennsylvania,UGI
17866,Coal Township,,Northumberland,Pennsylvania,UGI
17867,Rebuck,,Northumberland,Pennsylvania,UGI
17868,Riverside,,Northumberland,Pennsylvania,UGI
17870,Selinsgrove,,Snyder,Pennsylvania,UGI
17872,Shamokin,,Northumberland,Pennsylvania,UGI
17876,Shamokin Dam,,Snyder,Pennsylvania,UGI
17877,Snydertown,,Northumberland,Pennsylvania,UGI
17881,Trevorton,,Northumberland,Pennsylvania,UGI
17886,West Milton,,Union,Pennsylvania,UGI
17887,White Deer,,Union,Pennsylvania,UGI
17888,Wilburton,,Columbia,Pennsylvania,UGI
17901,Pottsville,,Schuylkill,Pennsylvania,UGI
17920,Aristes,,Columbia,Pennsylvania,UGI
17921,Ashland,,Schuylkill,Pennsylvania,UGI
17922,Auburn,,Schuylkill,Pennsylvania,UGI
