Zip Code,City/Township/Community,Municipal,County,State,Utility
18766,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18766,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18767,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18767,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18769,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18769,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18773,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18773,Wilkes-Barre,,Luzerne,Pennsylvania,UGI
18814,Burlington,,Bradford,Pennsylvania,UGI
18814,Burlington,,Bradford,Pennsylvania,UGI
18921,Ferndale,,Bucks,Pennsylvania,UGI
18927,Hilltown,,Bucks,Pennsylvania,UGI
18944,Perkasie,,Bucks,Pennsylvania,UGI
18951,Quakertown,,Bucks,Pennsylvania,UGI
18955,Richlandtown,,Bucks,Pennsylvania,UGI
18960,Sellersville,,Bucks,Pennsylvania,UGI
18962,Silverdale,,Bucks,Pennsylvania,UGI
18970,Trumbauersville,,Bucks,Pennsylvania,UGI
19344,Honey Brook,,Chester,Pennsylvania,UGI
19363,Oxford,,Chester,Pennsylvania,UGI
19501,Adamstown,,Lancaster,Pennsylvania,UGI
19503,Bally,,Berks,Pennsylvania,UGI
19504,Barto,,Berks,Pennsylvania,UGI
19505,Bechtelsville,,Berks,Pennsylvania,UGI
19508,Birdsboro,,Berks,Pennsylvania,UGI
19512,Boyertown,,Berks,Pennsylvania,UGI
19516,Centerport,,Berks,Pennsylvania,UGI
19518,Douglassville,,Berks,Pennsylvania,UGI
19522,Fleetwood,,Berks,Pennsylvania,UGI
19525,Gilbertsville,,Montgomery,Pennsylvania,UGI
19526,Hamburg,,Berks,Pennsylvania,UGI
19530,Kutztown,,Berks,Pennsylvania,UGI
19533,Leesport,,Berks,Pennsylvania,UGI
19538,Maxatawny,,Berks,Pennsylvania,UGI
19539,Mertztown,,Berks,Pennsylvania,UGI
19540,Mohnton,,Berks,Pennsylvania,UGI
19541,Mohrsville,,Berks,Pennsylvania,UGI
19543,Morgantown,,Berks,Pennsylvania,UGI
19549,Port Clinton,,Schuylkill,Pennsylvania,UGI
19551,Robesonia,,Berks,Pennsylvania,UGI
19555,Shoemakersville,,Berks,Pennsylvania,UGI
19562,Topton,,Berks,Pennsylvania,UGI
19565,Wernersville,,Berks,Pennsylvania,UGI
19567,Womelsdorf,,Berks,Pennsylvania,UGI
19601,Reading,,Berks,Pennsylvania,UGI
19602,Reading,,Berks,Pennsylvania,UGI
19603,Reading,,Berks,Pennsylvania,UGI
19604,Reading,,Berks,Pennsylvania,UGI
19605,Reading,,Berks,Pennsylvania,UGI
19606,Reading,,Berks,Pennsylvania,UGI
19607,Reading,,Berks,Pennsylvania,UGI
19608,Reading,,Berks,Pennsylvania,UGI
19609,Reading,,Berks,Pennsylvania,UGI
19610,Reading,,Berks,Pennsylvania,UGI
19611,Reading,,Berks,Pennsylvania,UGI
19612,Reading,,Berks,Pennsylvania,UGI
